UF Inventory Number,Type,Manufacturer,Model,Description,Serial Number,Location,Room,Manual,Last Calibrated,Calibration Doc,Calibration Expires,OCO Decal No.,Source Grant
,Multifunction DAQ,National Instruments,cDAQ-9172,Data Acquisition Computer,122FD9B,NEB,382,X,,,,,
000000284956,Multifunction DAQ,National Instruments,cDAQ-9178,Data Acquisition Computer,,Weil,112,X,,,,,
,Multifunction DAQ,National Instruments,cRIO-9012,DAQ,,Powell,T1,X,,,,,
,Multifunction DAQ,National Instruments,cRIO-9012,DAQ Real-time Controller,,Powell,101,X,,,,,
,Multifunction DAQ,National Instruments,DAQPad-6015,NI DAQPad-6015,11DC844,Powell,101,X,,,,,
,Multifunction DAQ,National Instruments,NITB-2631,DAQ,135CD94,Powell,101,X,,,,,
,Multifunction DAQ,National Instruments,PCIE-8361,Interface Card,12A0FB5,Powell,101,X,,,,,
,Multifunction DAQ,National Instruments,PXI-2530,DAQ Module,,Powell,101,,,,,,
,Multifunction DAQ,National Instruments,PXI-6229,DAQ,191332E-01L,Powell,101,,,,,,
,Multifunction DAQ,National Instruments,PXI-6229,DAQ,,Powell,100,,,,,,
,Multifunction DAQ,National Instruments,PXI-6259,DAQ,,Powell,125,,,,,,
,Multifunction DAQ,National Instruments,PXI-6602,DAQ Module,,Powell,Trailer,,,,,,
,Multifunction DAQ,National Instruments,PXI-6624,DAQ Module,,Powell,Trailer,,,,,,
,Multifunction DAQ,National Instruments,PXI-6704,DAQ Module,,Powell,Trailer,,,,,,
,Multifunction DAQ,National Instruments,PXI-8360,DAQ,,Powell,125,,,,,,
000000232898,Multifunction DAQ,National Instruments,PXIe-1062Q,DAQ Chassis,,Powell,Trailer,,,,,,
,Multifunction DAQ,National Instruments,PXIe-6259,DAQ Module,,Powell,Trailer,,,,,,
,Multifunction DAQ,National Instruments,PXIe-8106,DAQ Module,,Powell,Trailer,,,,,,
,Multifunction DAQ,National Instruments,SCXI-1102,32-Channel Thermocouple/Voltage Input Module,,Weil,112,,,,,,
,Multifunction DAQ,National Instruments,SCXI-1102,32-Channel Thermocouple/Voltage Input Module,,Weil,112,,,,,,
,Multifunction DAQ,National Instruments,SCXI-1102,32-Channel Thermocouple/Voltage Input Module,,Weil,112,,,,,,
,Multifunction DAQ,National Instruments,SCXI-1102,32-Channel Thermocouple/Voltage Input Module,,Weil,112,,,,,,
,Multifunction DAQ,National Instruments,SCXI-1181,Breadboard Module,D6D12C,Coastal,,,,,,,
,Multifunction DAQ,National Instruments,SCXI-1520,8 ch Universal Strain/Bridge Module,D84066,Coastal,,,,,,,
,Multifunction DAQ,National Instruments,SCXI-1520,8 ch Universal Strain/Bridge Module,D8406A,Coastal,,,,,,,
,Multifunction DAQ,National Instruments,SCXI-1520,8 ch Universal Strain/Bridge Module,D84067,Coastal,,,,,,,
,Multifunction DAQ,National Instruments,SCXI-1520,8 ch Universal Strain/Bridge Module,D84065,Coastal,,,,,,,
,Multifunction DAQ,National Instruments,SCXI-1520,8 ch Universal Strain/Bridge Module,D84064,Coastal,,,,,,,
,Multifunction DAQ,National Instruments,SCXI-1520,8 ch Universal Strain/Bridge Module,,Powell,125,,,,,,
,Multifunction DAQ,National Instruments,SCXI-1520,8 ch Universal Strain/Bridge Module,,Powell,125,,,,,,
,Multifunction DAQ,National Instruments,SCXI-1520,8 ch Universal Strain/Bridge Module,,Powell,125,,,,,,
,Multifunction DAQ,National Instruments,SCXI-1520,8 ch Universal Strain/Bridge Module,,Weil,112,,,,,,
,Multifunction DAQ,National Instruments,SCXI-1520,8 ch Universal Strain/Bridge Module,,Weil,112,,,,,,
,Multifunction DAQ,National Instruments,SCXI-1520,8 ch Universal Strain/Bridge Module,,Weil,112,,,,,,
,Multifunction DAQ,National Instruments,SCXI-1520,8 ch Universal Strain/Bridge Module,,Weil,112,,,,,,
,Multifunction DAQ,National Instruments,SCXI-1520,8 ch Universal Strain/Bridge Module,,Weil,112,,,,,,
,Multifunction DAQ,National Instruments,SCXI-1530,DAQ,,Powell,100,,,,,,
